label,needle,depth,expected,found,finish_reason,answer
"Q8_0","ATLAS",0.03,"ATLAS-?7734",True,"stop","ATLAS-7734"
"Q8_0","ATLAS2",0.07,"ATLAS-?7743",True,"stop","ATLAS-7743"
"Q8_0","ATLAS3",0.11,"ATLAS-?3477",True,"stop","ATLAS-3477"
"Q8_0","OKAPI",0.15,"1[,.]?850",True,"stop","1,850"
"Q8_0","OKAPI2",0.19,"1[,.]?580",True,"stop","1,580"
"Q8_0","OKAPI3",0.23,"8[,.]?150",True,"stop","8,150"
"Q8_0","FENWICK",0.27,"1974",True,"stop","1974"
"Q8_0","FENWICK2",0.31,"1947",True,"stop","1947"
"Q8_0","FENWICK3",0.35,"1794",True,"stop","1794"
"Q8_0","MARLOW",0.4,"\b63\b",True,"stop","63 tonnes"
"Q8_0","MARLOW2",0.45,"\b36\b",True,"stop","36 tonnes"
"Q8_0","MARLOW3",0.5,"\b630\b",True,"stop","630 tonnes"
"Q8_0","QUILL",0.55,"Harbou?r (Four|4)",True,"stop","Harbour Four"
"Q8_0","QUILL2",0.6,"Harbou?r (Two|2)",True,"stop","Harbour Two"
"Q8_0","BRAMBLE",0.64,"\b412\b",True,"stop","412"
"Q8_0","BRAMBLE2",0.68,"\b214\b",True,"stop","214"
"Q8_0","VERDIGRIS",0.72,"verdigris",True,"stop","verdigris"
"Q8_0","CINDER",0.76,"\b(two|2)\b",True,"stop","2"
"Q8_0","PELICAN",0.8,"Pelican",True,"stop","Pelican valve"
"Q8_0","SANDPIPER",0.84,"flood|2011",True,"stop","the flood of 2011"
"Q8_0","LANTERN",0.88,"\b97\b",True,"stop","97"
"Q8_0","ORCHARD",0.92,"04:?20|4:20",True,"stop","04:20"
"Q8_0","TRESTLE",0.95,"\b19\b",True,"stop","19 weeks"
"Q8_0","HOLLOW",0.98,"3\.4",True,"stop","3.4"
"Q4_K_M","ATLAS",0.03,"ATLAS-?7734",True,"stop","ATLAS-7734"
"Q4_K_M","ATLAS2",0.07,"ATLAS-?7743",True,"stop","ATLAS-7743"
"Q4_K_M","ATLAS3",0.11,"ATLAS-?3477",True,"stop","ATLAS-3477"
"Q4_K_M","OKAPI",0.15,"1[,.]?850",True,"stop","1,850"
"Q4_K_M","OKAPI2",0.19,"1[,.]?580",True,"stop","1,580"
"Q4_K_M","OKAPI3",0.23,"8[,.]?150",True,"stop","8,150"
"Q4_K_M","FENWICK",0.27,"1974",True,"stop","1974"
"Q4_K_M","FENWICK2",0.31,"1947",True,"stop","1947"
"Q4_K_M","FENWICK3",0.35,"1794",True,"stop","1794"
"Q4_K_M","MARLOW",0.4,"\b63\b",True,"stop","63 tonnes"
"Q4_K_M","MARLOW2",0.45,"\b36\b",True,"stop","36 tonnes"
"Q4_K_M","MARLOW3",0.5,"\b630\b",True,"stop","630 tonnes"
"Q4_K_M","QUILL",0.55,"Harbou?r (Four|4)",True,"stop","Harbour Four"
"Q4_K_M","QUILL2",0.6,"Harbou?r (Two|2)",True,"stop","Harbour Two"
"Q4_K_M","BRAMBLE",0.64,"\b412\b",True,"stop","412"
"Q4_K_M","BRAMBLE2",0.68,"\b214\b",True,"stop","214"
"Q4_K_M","VERDIGRIS",0.72,"verdigris",True,"stop","verdigris"
"Q4_K_M","CINDER",0.76,"\b(two|2)\b",True,"stop","2"
"Q4_K_M","PELICAN",0.8,"Pelican",True,"stop","Pelican valve"
"Q4_K_M","SANDPIPER",0.84,"flood|2011",True,"stop","the flood of 2011"
"Q4_K_M","LANTERN",0.88,"\b97\b",True,"stop","97"
"Q4_K_M","ORCHARD",0.92,"04:?20|4:20",True,"stop","04:20"
"Q4_K_M","TRESTLE",0.95,"\b19\b",True,"stop","19 weeks"
"Q4_K_M","HOLLOW",0.98,"3\.4",True,"stop","3.4"
