label,build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
gemma-default,"f5525f7e7","9910","AMD RYZEN AI MAX+ 395 w/ Radeon 8060S          ","AMD Radeon(TM) 8060S Graphics","CUDA,ROCm","C:\Users\matt\.lmstudio\models\lmstudio-community\gemma-3-27B-it-qat-GGUF\gemma-3-27B-it-QAT-Q4_0.gguf","gemma3 27B Q4_0","15560833664","27009346304","2048","512","16","0x0","0","50","f16","f16","-1","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","512","0","0","2026-07-10T18:37:36Z","1255355400","2782896","407.853964","0.903540"
gemma-default,"f5525f7e7","9910","AMD RYZEN AI MAX+ 395 w/ Radeon 8060S          ","AMD Radeon(TM) 8060S Graphics","CUDA,ROCm","C:\Users\matt\.lmstudio\models\lmstudio-community\gemma-3-27B-it-qat-GGUF\gemma-3-27B-it-QAT-Q4_0.gguf","gemma3 27B Q4_0","15560833664","27009346304","2048","512","16","0x0","0","50","f16","f16","-1","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","2048","0","0","2026-07-10T18:37:42Z","5528167133","17254689","370.468777","1.157742"
gemma-lt-on,"f5525f7e7","9910","AMD RYZEN AI MAX+ 395 w/ Radeon 8060S          ","AMD Radeon(TM) 8060S Graphics","CUDA,ROCm","C:\Users\matt\.lmstudio\models\lmstudio-community\gemma-3-27B-it-qat-GGUF\gemma-3-27B-it-QAT-Q4_0.gguf","gemma3 27B Q4_0","15560833664","27009346304","2048","512","16","0x0","0","50","f16","f16","-1","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","512","0","0","2026-07-10T18:38:48Z","1257028266","4990727","407.314130","1.615374"
gemma-lt-on,"f5525f7e7","9910","AMD RYZEN AI MAX+ 395 w/ Radeon 8060S          ","AMD Radeon(TM) 8060S Graphics","CUDA,ROCm","C:\Users\matt\.lmstudio\models\lmstudio-community\gemma-3-27B-it-qat-GGUF\gemma-3-27B-it-QAT-Q4_0.gguf","gemma3 27B Q4_0","15560833664","27009346304","2048","512","16","0x0","0","50","f16","f16","-1","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","2048","0","0","2026-07-10T18:38:54Z","5548341600","15547924","369.121239","1.034970"
gemma-lt-off,"f5525f7e7","9910","AMD RYZEN AI MAX+ 395 w/ Radeon 8060S          ","AMD Radeon(TM) 8060S Graphics","CUDA,ROCm","C:\Users\matt\.lmstudio\models\lmstudio-community\gemma-3-27B-it-qat-GGUF\gemma-3-27B-it-QAT-Q4_0.gguf","gemma3 27B Q4_0","15560833664","27009346304","2048","512","16","0x0","0","50","f16","f16","-1","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","512","0","0","2026-07-10T18:40:00Z","1248877033","17161154","410.019677","5.607997"
gemma-lt-off,"f5525f7e7","9910","AMD RYZEN AI MAX+ 395 w/ Radeon 8060S          ","AMD Radeon(TM) 8060S Graphics","CUDA,ROCm","C:\Users\matt\.lmstudio\models\lmstudio-community\gemma-3-27B-it-qat-GGUF\gemma-3-27B-it-QAT-Q4_0.gguf","gemma3 27B Q4_0","15560833664","27009346304","2048","512","16","0x0","0","50","f16","f16","-1","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","2048","0","0","2026-07-10T18:40:05Z","5561746733","28281422","368.235983","1.871049"
gemma-ubsweep-default,"f5525f7e7","9910","AMD RYZEN AI MAX+ 395 w/ Radeon 8060S          ","AMD Radeon(TM) 8060S Graphics","CUDA,ROCm","C:\Users\matt\.lmstudio\models\lmstudio-community\gemma-3-27B-it-qat-GGUF\gemma-3-27B-it-QAT-Q4_0.gguf","gemma3 27B Q4_0","15560833664","27009346304","2048","256","16","0x0","0","50","f16","f16","-1","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","2048","0","0","2026-07-10T18:41:52Z","5686940800","16792909","360.125410","1.061749"
gemma-ubsweep-default,"f5525f7e7","9910","AMD RYZEN AI MAX+ 395 w/ Radeon 8060S          ","AMD Radeon(TM) 8060S Graphics","CUDA,ROCm","C:\Users\matt\.lmstudio\models\lmstudio-community\gemma-3-27B-it-qat-GGUF\gemma-3-27B-it-QAT-Q4_0.gguf","gemma3 27B Q4_0","15560833664","27009346304","2048","512","16","0x0","0","50","f16","f16","-1","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","2048","0","0","2026-07-10T18:42:15Z","5612812600","10186453","364.880255","0.661742"
gemma-ubsweep-default,"f5525f7e7","9910","AMD RYZEN AI MAX+ 395 w/ Radeon 8060S          ","AMD Radeon(TM) 8060S Graphics","CUDA,ROCm","C:\Users\matt\.lmstudio\models\lmstudio-community\gemma-3-27B-it-qat-GGUF\gemma-3-27B-it-QAT-Q4_0.gguf","gemma3 27B Q4_0","15560833664","27009346304","2048","1024","16","0x0","0","50","f16","f16","-1","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","2048","0","0","2026-07-10T18:42:38Z","5529372166","24214097","370.390367","1.622346"
qwen-default,"f5525f7e7","9910","AMD RYZEN AI MAX+ 395 w/ Radeon 8060S          ","AMD Radeon(TM) 8060S Graphics","CUDA,ROCm","C:\Users\matt\.lmstudio\models\lmstudio-community\Qwen3.6-35B-A3B-GGUF\Qwen3.6-35B-A3B-Q4_K_M.gguf","qwen35moe 35B.A3B Q4_K - Medium","21155768832","34660610688","2048","512","16","0x0","0","50","f16","f16","-1","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","512","0","0","2026-07-10T18:43:45Z","466776133","3130971","1096.918423","7.349402"
qwen-default,"f5525f7e7","9910","AMD RYZEN AI MAX+ 395 w/ Radeon 8060S          ","AMD Radeon(TM) 8060S Graphics","CUDA,ROCm","C:\Users\matt\.lmstudio\models\lmstudio-community\Qwen3.6-35B-A3B-GGUF\Qwen3.6-35B-A3B-Q4_K_M.gguf","qwen35moe 35B.A3B Q4_K - Medium","21155768832","34660610688","2048","512","16","0x0","0","50","f16","f16","-1","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","2048","0","0","2026-07-10T18:43:47Z","2001286300","30495587","1023.499408","15.511306"
qwen-lt-on,"f5525f7e7","9910","AMD RYZEN AI MAX+ 395 w/ Radeon 8060S          ","AMD Radeon(TM) 8060S Graphics","CUDA,ROCm","C:\Users\matt\.lmstudio\models\lmstudio-community\Qwen3.6-35B-A3B-GGUF\Qwen3.6-35B-A3B-Q4_K_M.gguf","qwen35moe 35B.A3B Q4_K - Medium","21155768832","34660610688","2048","512","16","0x0","0","50","f16","f16","-1","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","512","0","0","2026-07-10T18:44:30Z","476542933","3853989","1074.451668","8.698803"
qwen-lt-on,"f5525f7e7","9910","AMD RYZEN AI MAX+ 395 w/ Radeon 8060S          ","AMD Radeon(TM) 8060S Graphics","CUDA,ROCm","C:\Users\matt\.lmstudio\models\lmstudio-community\Qwen3.6-35B-A3B-GGUF\Qwen3.6-35B-A3B-Q4_K_M.gguf","qwen35moe 35B.A3B Q4_K - Medium","21155768832","34660610688","2048","512","16","0x0","0","50","f16","f16","-1","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","2048","0","0","2026-07-10T18:44:32Z","1986272133","14856181","1031.115656","7.703343"
