league,model,gib,depth,prefill_tps,decode_tps,decode_x_gib
4-bit,ROCmFP4,15.7,0k,196.40,13.80,217
4-bit,ROCmFP4,15.7,16k,253.20,13.00,204
4-bit,ROCmFP4,15.7,32k,213.90,12.20,192
4-bit,Q4_K_M,15.93,0k,149.10,12.00,191
4-bit,Q4_K_M,15.93,16k,266.80,11.30,180
4-bit,Q4_K_M,15.93,32k,208.70,10.80,172
4-bit,UD-Q4_K_XL,16.68,0k,161.00,11.50,192
4-bit,UD-Q4_K_XL,16.68,16k,247.20,10.90,182
4-bit,UD-Q4_K_XL,16.68,32k,227.60,10.40,173
6-bit,Chadrockv2-FP6,23.47,0k,118.50,8.60,202
6-bit,Chadrockv2-FP6,23.47,16k,164.20,8.20,192
6-bit,Chadrockv2-FP6,23.47,32k,157.90,7.90,185
6-bit,Q6_K,21.31,0k,133.10,9.50,202
6-bit,Q6_K,21.31,16k,223.30,9.10,194
6-bit,Q6_K,21.31,32k,197.30,8.70,185
6-bit,UD-Q6_K_XL,24.23,0k,113.50,8.50,206
6-bit,UD-Q6_K_XL,24.23,16k,232.70,8.20,199
6-bit,UD-Q6_K_XL,24.23,32k,208.70,7.90,191
ref,Q8_0,27.05,0k,174.10,7.70,208
ref,Q8_0,27.05,16k,323.50,7.40,200
ref,Q8_0,27.05,32k,263.80,7.30,197
