league,model,gib,depth,prefill_tps,decode_tps,decode_x_gib
4-bit,ROCmFP4,15.7,0k,155.00,27.60,433
4-bit,ROCmFP4,15.7,2k,289.10,27.20,427
4-bit,ROCmFP4,15.7,16k,245.60,26.20,411
4-bit,ROCmFP4,15.7,32k,209.60,26.10,410
4-bit,ROCmFP4,15.7,64k,171.10,24.60,386
4-bit,Q4_K_M,15.93,0k,126.40,22.20,354
4-bit,Q4_K_M,15.93,2k,256.00,20.50,327
4-bit,Q4_K_M,15.93,16k,253.30,20.00,319
4-bit,Q4_K_M,15.93,32k,203.70,18.70,298
4-bit,Q4_K_M,15.93,64k,167.60,19.20,306
4-bit,UD-Q4_K_XL,16.68,0k,124.90,20.80,347
4-bit,UD-Q4_K_XL,16.68,2k,247.20,21.10,352
4-bit,UD-Q4_K_XL,16.68,16k,235.80,20.00,334
4-bit,UD-Q4_K_XL,16.68,32k,203.40,18.70,312
4-bit,UD-Q4_K_XL,16.68,64k,162.50,18.50,309
6-bit,Chadrockv2-FP6,23.47,0k,100.60,19.50,458
6-bit,Chadrockv2-FP6,23.47,2k,169.10,19.50,458
6-bit,Chadrockv2-FP6,23.47,16k,163.90,19.80,465
6-bit,Chadrockv2-FP6,23.47,32k,159.20,20.90,491
6-bit,Chadrockv2-FP6,23.47,64k,123.40,19.60,460
6-bit,Q6_K,21.31,0k,114.10,19.70,420
6-bit,Q6_K,21.31,2k,221.80,20.80,443
6-bit,Q6_K,21.31,16k,201.90,19.80,422
6-bit,Q6_K,21.31,32k,178.20,20.80,443
6-bit,Q6_K,21.31,64k,144.20,20.20,430
6-bit,UD-Q6_K_XL,24.23,0k,104.90,18.40,446
6-bit,UD-Q6_K_XL,24.23,2k,228.90,18.30,443
6-bit,UD-Q6_K_XL,24.23,16k,215.10,17.80,431
6-bit,UD-Q6_K_XL,24.23,32k,187.20,18.50,448
6-bit,UD-Q6_K_XL,24.23,64k,151.30,18.40,446
ref,Q8_0,27.05,0k,137.50,17.90,484
ref,Q8_0,27.05,2k,320.60,17.50,473
ref,Q8_0,27.05,16k,282.70,18.50,500
ref,Q8_0,27.05,32k,237.50,19.40,525
ref,Q8_0,27.05,64k,181.40,19.10,517
ref,BF16,50.9,0k,56.50,9.50,484
ref,BF16,50.9,2k,307.50,9.40,478
ref,BF16,50.9,16k,311.90,10.00,509
